Order ID,Store,Sale Date,Revenue(CNY),Category
1001,朝阳店,2023/01/05,856,Online
1002,朝阳店,2023-01-09,432,online
1003,海淀店,20230115,1280,线下
1004,海淀店,2023/01/18,"¥1,234",Offline
1005,西城店,2023-01-20,977,ONLINE
1006,西城店,2023/02/01,,线上
1007,朝阳店,20230203,1105,线下
1008,,2023-02-08,689,offline
1009,丰台店,2023/02/11,452,Online
1010,朝阳店,2023-02-14,99999,线上
1011,海淀店,20230216,733,online
1012,西城店,2023/02/20,618, 线下
1013,丰台店,2023-02-22,-120,ONLINE
1014,朝阳店,20230225,842,offline
1015,海淀店,2023/03/01,505,Online
1016,朝阳店,2023-03-03,"¥2,058",线上
1017,西城店,20230305,277,offline
1018,丰台店,2023/03/08,921,Online
1019,朝阳店,2023-03-10,664,online
1020,海淀店,20230312,388,线下
1021,朝阳店,2023/03/15,1102,ONLINE
1022,西城店,2023-03-17,745, 线上
1023,丰台店,20230319,296,offline
1024,朝阳店,2023/03/22,853,Online
1025,海淀店,2023-03-24,467,online
1026,朝阳店,20230326,1218,线下
1027,西城店,2023/03/29,589,OFFLINE
1028,丰台店,2023-03-31,902,online
1029,朝阳店,20230402,356,线上
1030,海淀店,2023/04/04,774,Online
1031,朝阳店,2023-04-06,641,online
1032,西城店,20230408,1088,线下
1033,丰台店,2023/04/10,,OFFLINE
1034,朝阳店,2023-04-12,523,线上
1035,海淀店,20230414,967,Online
1036,朝阳店,2023/04/16,434,online
1037,西城店,2023-04-18,890,offline
1038,丰台店,20230420,612, 线下
1039,朝阳店,2023/04/22,1077,ONLINE
1040,海淀店,2023-04-25,748,online
1001,朝阳店,2023/01/05,856,Online
1016,朝阳店,2023-03-03,"¥2,058",线上
1030,海淀店,2023/04/04,774,Online
